service_type,key_question,kloe,ref,checklist_item
Homecare Agency,Well-Led,Strategic direction,WEL-SD-01,"The values of the service are clear, understood and supported by staff. They are demonstrated through the behaviour of leaders and in practices within the service. They include key principles such as openness, involvement, respect, human rights, inclusion, diversity and equality."
Homecare Agency,Well-Led,Strategic direction,WEL-SD-02,"Leaders learn from staff who work directly with people, to build trust and mutual understanding. Feedback is valued and used to track progress, shape priorities and drive improvements."
Homecare Agency,Well-Led,Strategic direction,WEL-SD-03,The strategy supports the stability and operational sustainability of the service.
Extra Care Housing,Safe,Safety culture,SAF-SC-01,"All incidents are recorded, investigated and outcomes are communicated to those involved. If harm has occurred, people are given full details of what happened, why, and what has been learned."
Extra Care Housing,Safe,Safety culture,SAF-SC-02,"There is a good understanding of the duty of candour. When an incident has happened, staff are open and transparent with people and those close to them."
Extra Care Housing,Safe,Safety culture,SAF-SC-03,"There is a strong learning culture in which incidents that have caused harm, or could cause harm, are treated as opportunities to improve."
Extra Care Housing,Safe,Safety culture,SAF-SC-04,"Complaints, concerns and other feedback about safety are welcomed and prioritised as key sources used to identify and manage safety risks before safety incidents happen."
Extra Care Housing,Safe,Safety culture,SAF-SC-05,"The service looks for safety-related themes and trends. Patient safety alerts are consistently reviewed and acted on, and learning from external safety incidents is embedded in the delivery of care."
Extra Care Housing,Safe,Safety culture,SAF-SC-06,"Staff and leaders understand what constitutes a closed culture and the risks to people, including organisational abuse. There are systems and processes in place to identify concerns and prevent closed cultures from developing, and appropriate action is taken when needed."
Extra Care Housing,Safe,Managing risks during care and treatment,SAF-MR-01,"People's care plans reflect any foreseeable risks and how they should be managed. Deterioration, emergencies and clinical risks are anticipated where possible and managed to reduce the potential for harm."
Extra Care Housing,Safe,Managing risks during care and treatment,SAF-MR-02,People are respected and protected from avoidable harm because care is provided in line with recognised good practice guidance.
Extra Care Housing,Safe,Managing risks during care and treatment,SAF-MR-03,"Care, support and treatment are discussed with people so they understand the potential risks and side effects. Where appropriate, people and those close to them are actively involved in managing their own risks."
Extra Care Housing,Safe,Managing risks during care and treatment,SAF-MR-04,"The service has a process to ensure that any restrictions on people's freedom, choice and control are necessary, proportionate and safe. This particularly includes where people lack mental capacity."
Extra Care Housing,Safe,Managing risks during care and treatment,SAF-MR-05,"Restraint is only ever used as a last resort and there is a clear commitment from all staff to minimising the use of restrictive interventions in the service. If staff use restraint, it is lawful, for a legitimate purpose, safe and necessary, and staff follow good practice."
Extra Care Housing,Safe,Safeguarding,SAF-SG-01,"There are effective safeguarding systems, processes and practices, managed by appropriately trained staff, which protect people from abuse, neglect, harassment and breaches of their dignity. These operate in line with legislation and guidance, are communicated effectively and are accessible to people, staff and visitors to the service."
Extra Care Housing,Safe,Safeguarding,SAF-SG-02,"Staff can identify abuse and improper treatment. They recognise early indicators of potential abuse or poor care, even when these do not meet the threshold for formal safeguarding concerns. Staff act quickly and appropriately to protect people, working closely with partners."
Extra Care Housing,Safe,Safeguarding,SAF-SG-03,"Information about people who have suffered harm or are at risk of harm is shared appropriately with other agencies, such as the local authority, in a timely way. Staff use appropriate escalation pathways when concerns are not addressed."
Extra Care Housing,Safe,Safeguarding,SAF-SG-04,"People are deprived of their liberty lawfully. Any potential deprivation of liberty is recognised promptly and appropriate authorisation is sought. Where applicable, the Deprivation of Liberty Safeguards (DoLS) are used appropriately and only when it is in the best interests of the person."
Extra Care Housing,Safe,Safeguarding,SAF-SG-05,"People are supported to understand what safeguarding means and how to raise concerns on behalf of themselves and others, and are encouraged and empowered to do so."
Extra Care Housing,Safe,"Safe systems, pathways and transitions",SAF-ST-01,"Plans and information for care during transitions are established and shared before people move between services. Plans consider people's individual needs, circumstances, ongoing care arrangements and expected outcomes."
Extra Care Housing,Safe,"Safe systems, pathways and transitions",SAF-ST-02,"Safety and continuity are maintained across people's care journeys through collaborative working with people, staff and partners. This includes where people are moving between or accessing multiple services."
Extra Care Housing,Safe,"Safe systems, pathways and transitions",SAF-ST-03,"Staff work together proactively with teams in other services, commissioners and people using the service to deliver co-ordinated, timely, consistent and person-centred care, support and treatment. Actions are appropriately owned and followed up."
Extra Care Housing,Safe,"Safe systems, pathways and transitions",SAF-ST-04,"When people have needs that are outside of the service's remit, staff adapt support and escalate issues to relevant agencies."
Extra Care Housing,Safe,"Safe systems, pathways and transitions",SAF-ST-05,"The service has appropriate systems and processes to manage its responsibilities in relation to delegated healthcare activities safely, in line with good practice."
Extra Care Housing,Safe,Safe environments and infection prevention and control,SAF-EI-01,Fire safety procedures are effective. Concerns are escalated appropriately where the service is not directly responsible for the premises.
Extra Care Housing,Safe,Safe environments and infection prevention and control,SAF-EI-02,"Where the provider is responsible, there is a comprehensive system to proactively manage the safety and upkeep of the premises (including communal and personal spaces) and equipment, and risks are assessed and controlled. Professionally qualified and competent people complete the necessary environmental and equipment checks and maintenance."
Extra Care Housing,Safe,Safe environments and infection prevention and control,SAF-EI-03,The service manages the control and prevention of infection well. Infection prevention and control roles are clear. The risk of infection is minimised because premises and equipment are kept clean and hygienic.
Extra Care Housing,Safe,Safe environments and infection prevention and control,SAF-EI-04,"The service monitors and acts on equipment alerts, recalls and safety information."
Extra Care Housing,Safe,Safe environments and infection prevention and control,SAF-EI-05,"Facilities, equipment (including special or adaptive equipment) and technology that are the responsibility of the service are maintained, stored and used in line with good practice and guidance."
Extra Care Housing,Safe,Safe staffing,SAF-SS-01,"There are appropriate staffing levels and skill mix to meet people's needs. Individual needs are taken into consideration so that when people receive one-to-one support, the skills and experience of staff are matched to the person's needs."
Extra Care Housing,Safe,Safe staffing,SAF-SS-02,"Thorough and safe recruitment practices ensure staff, including agency staff and volunteers, are suitably experienced, qualified and competent to carry out their roles."
Extra Care Housing,Safe,Safe staffing,SAF-SS-03,"Actions are taken to protect staff from fatigue, and leaders understand its impact on the safety of those who use services."
Extra Care Housing,Safe,Safe staffing,SAF-SS-04,"There are induction, supervision and appraisal processes to support staff to develop and improve services (including professional revalidation where needed)."
Extra Care Housing,Safe,Safe medicines and treatments,SAF-MT-01,"There is a clear approach to the safe use of medicines, and roles and responsibilities are understood."
Extra Care Housing,Safe,Safe medicines and treatments,SAF-MT-02,"Controlled drugs are stored, recorded, administered and disposed of in line with legislation and guidance."
Extra Care Housing,Safe,Safe medicines and treatments,SAF-MT-03,"Where the service is responsible, medicines are ordered, administered, recorded, stored and disposed of safely in line with legislation and guidance."
Extra Care Housing,Safe,Safe medicines and treatments,SAF-MT-04,"The administration of PRN medicines (medicines taken when required) is guided by clear protocols, and there are timely reviews."
Extra Care Housing,Safe,Safe medicines and treatments,SAF-MT-05,"People and their representatives are involved in assessments, reviews and decisions, including the level of support needed and self-medication. This is clearly documented in care records."
Extra Care Housing,Safe,Safe medicines and treatments,SAF-MT-06,"The service actively considers opportunities to reduce the over-medication of people, in line with STOMP/STAMP principles where applicable."
Extra Care Housing,Effective,Assessing needs,EFF-AN-01,"People's needs are comprehensively assessed, and reflect their wishes and physical, mental, emotional, sensory, social and communication needs, including those related to protected equality characteristics."
Extra Care Housing,Effective,Assessing needs,EFF-AN-02,"Assessments are regularly reviewed and updated to make sure staff have current information, so that care, support and treatment is meeting people's needs and individual outcomes as expected."
Extra Care Housing,Effective,Assessing needs,EFF-AN-03,"People's communication needs are assessed and met to maximise the effectiveness of care, support and treatment."
Extra Care Housing,Effective,Assessing needs,EFF-AN-04,"People are involved as much as possible in their needs assessment and their needs are fully identified and understood. Where people need support to be involved, this is provided."
Extra Care Housing,Effective,"Care provision, integration and continuity",EFF-CP-01,The service understands the diverse needs of the people who use it and tailors their support accordingly. This includes recognising and responding to the needs of people with protected equality characteristics and those most at risk of experiencing poorer care or facing barriers to accessing care.
Extra Care Housing,Effective,"Care provision, integration and continuity",EFF-CP-02,"The service works collaboratively and flexibly with others. People experience continuity of care, support and treatment; this includes working with commissioners to manage continuity of care."
Extra Care Housing,Effective,"Care provision, integration and continuity",EFF-CP-03,"Where support is provided by more than one service, or by unpaid carers, staff work in a planned, coordinated and flexible way to make sure care is joined up and meets people's needs."
Extra Care Housing,Effective,"Care provision, integration and continuity",EFF-CP-04,Staff can identify and take appropriate action when there is a gap in care provision. This includes identifying and taking appropriate action where people are eligible to receive more care or support.
Extra Care Housing,Effective,Supporting people to live healthier lives,EFF-HL-01,"The service works with people who use services and professionals to plan and enable access to health and social care support to achieve good health and wellbeing outcomes. This includes facilitating reasonable adjustments, supporting people to access health checks or to complete healthcare passports."
Extra Care Housing,Effective,Supporting people to live healthier lives,EFF-HL-02,"Risks to people's health and wellbeing are identified and support to prevent deterioration is prioritised. This includes understanding specific risks for a person due to their needs and specific health conditions, keeping well in hot and cold weather and supporting people to remain as active and mobile as possible."
Extra Care Housing,Effective,Supporting people to live healthier lives,EFF-HL-03,"People are encouraged and supported to make healthier choices relating to diet, lifestyle, physical activity, personal and oral hygiene."
Extra Care Housing,Effective,Evidence-based care and equitable outcomes,EFF-EB-01,"People's nutritional and hydration needs are met in line with current standards and good practice guidance. Where applicable, there is positive feedback from dietetic professionals that the service asks for their advice and applies it properly."
Extra Care Housing,Effective,Evidence-based care and equitable outcomes,EFF-EB-02,"People are supported to plan and manage their dietary needs and associated risks, including risks of poor nutrition, dehydration, swallowing problems and other medical conditions that affect their health."
Extra Care Housing,Effective,Evidence-based care and equitable outcomes,EFF-EQ-01,"There is a rigorous approach to monitoring the effectiveness of people's care, support and treatment and the service takes action to continuously improve it."
Extra Care Housing,Effective,Evidence-based care and equitable outcomes,EFF-EQ-02,"Staff monitor and evaluate outcomes related to people's health and quality of life, including those linked to their aspirations and skill development, and act to improve them when possible."
Extra Care Housing,Effective,Evidence-based care and equitable outcomes,EFF-EB-05,"Staff are aware of individual preferences in relation to eating and drinking and there is flexibility when needed or requested. There are good quality food choices and these respect individual wishes, including those relating to sensory, cultural, religious and ethical preferences."
Extra Care Housing,Effective,Consent to care and treatment,EFF-CT-01,"Staff know the importance of consent and relevant legal requirements. They make sure people understand what they are consenting to before they deliver care, support or treatment. People are given the appropriate information, support and time they need to make an informed decision."
Extra Care Housing,Effective,Consent to care and treatment,EFF-CT-02,"There is a clear understanding of the requirements of the Mental Capacity Act 2005 and guidance relating to capacity and consent, and staff demonstrate how they put these into practice effectively. People are supported to understand information, communicate and make decisions about their life, care, support and treatment in line with the Mental Capacity Act 2005, involving their representatives and advocates when needed."
Extra Care Housing,Effective,Consent to care and treatment,EFF-CT-03,"People are supported to access independent advocacy, including statutory or non-statutory when available, and advocates are appropriately involved by the service."
Extra Care Housing,Effective,Consent to care and treatment,EFF-CT-04,"The service makes lawful decisions in people's best interests when required. People are involved and their feelings, beliefs and values are considered. Those close to the person and their advocates are involved and kept informed of any changes as appropriate."
Extra Care Housing,Caring,"Kindness, compassion and dignity",CAR-KD-01,"There is a culture of kindness and respect across teams. People feel cared for with kindness, compassion, dignity and respect."
Extra Care Housing,Caring,"Kindness, compassion and dignity",CAR-KD-02,"People's privacy, confidentiality, and respect are consistently upheld. Staff are discreet and challenge behaviour and practices that fall short of this. Staff have a clear understanding of the boundaries of confidentiality and work within these."
Extra Care Housing,Caring,"Kindness, compassion and dignity",CAR-KD-03,"Staff genuinely care about people's wellbeing and show it in a thoughtful, meaningful way. They promptly respond to people's emotions, discomfort, distress, or urgent needs in a positive way."
Extra Care Housing,Caring,"Independence, choice and control",CAR-IC-01,"If people wish to, they are encouraged and enabled to access meaningful activities, hobbies and interests in a personalised way. People are offered meaningful and genuine choices."
Extra Care Housing,Caring,"Independence, choice and control",CAR-IC-02,"People are supported to establish and maintain relationships and networks that are important to them, with access to family, friends, cultural connections, and advocacy support while using the service. When applicable, visiting restrictions are limited to exceptional circumstances in accordance with guidance and legislation."
Extra Care Housing,Caring,"Independence, choice and control",CAR-IC-03,"People are supported to make decisions about end of life preferences and advance decisions if they wish to. People who may be approaching the end of their life are identified to ensure their needs are met, in line with their preferences and choices, and the right support is provided."
Extra Care Housing,Caring,"Independence, choice and control",CAR-IC-04,"There is a compassionate and supportive approach towards those close to the person, or staff, before and after a person dies."
Extra Care Housing,Caring,"Independence, choice and control",CAR-IC-05,"People are supported to plan for important life changes, including those relating to potential medical and psychological needs. They can have enough time and accessible information to make informed decisions about their future."
Extra Care Housing,Caring,"Independence, choice and control",CAR-IC-06,"People have choice and control over their own care and are empowered to make decisions about their care, support, treatment and wellbeing."
Extra Care Housing,Caring,Equity in experiences,CAR-EE-01,"Leaders and staff work collaboratively to achieve equity. They do this by recognising barriers, collecting and acting on evidence, including people's experiences, and allocating resources to reduce barriers and improve this."
Extra Care Housing,Caring,Equity in experiences,CAR-EE-02,Interpreting and translation are provided or accessed for people who don't speak English as a first language and for people who use British Sign Language.
Extra Care Housing,Caring,Equity in experiences,CAR-EE-03,Staff are supported to develop the skills they need to remove barriers to effective communication with the people they support.
Extra Care Housing,Caring,Listening to and responding to feedback,CAR-LR-01,"People and those close to them understand how to give feedback, make suggestions or complain about care, support and treatment. They can do this in a way that meets their needs."
Extra Care Housing,Caring,Listening to and responding to feedback,CAR-LR-02,"The staff and service welcome feedback, concerns or complaints as an opportunity to improve the service and the quality of care people receive. Learning from feedback, concerns or complaints is incorporated into practice."
Extra Care Housing,Caring,Listening to and responding to feedback,CAR-LR-03,"The service keeps people informed about how their feedback has been addressed and any action taken including a full explanation when it has not been acted on. It does this in line with established processes, and people are given information on how to escalate their complaints to the relevant Ombudsman at the end of its complaint process."
Extra Care Housing,Caring,Listening to and responding to feedback,CAR-LR-04,"People feel confident that their views or concerns will be taken seriously and they will be treated compassionately, without negative repercussions."
Extra Care Housing,Responsive,Person-centred care,RES-PC-01,"People are at the centre of how their care, support and treatment is delivered. Care is tailored to the individual and is not task-focused."
Extra Care Housing,Responsive,Person-centred care,RES-PC-02,"Staff treat people as individuals, considering any relevant protected equality characteristics and ensuring their personal, cultural, social, spiritual and religious needs are understood and met."
Extra Care Housing,Responsive,Timely and equitable access,RES-TA-01,"People can access care, support and treatment, including physically, when they need it and in a way that works for them, which promotes equality, removes barriers or delays and protects their rights."
Extra Care Housing,Responsive,Timely and equitable access,RES-TA-02,Reasonable adjustments are understood and made to ensure equal access to the service for all. This removes barriers for people who find it hard to access services.
Extra Care Housing,Responsive,Timely and equitable access,RES-TA-03,"The service is designed to be accessible and available for people at the point of need, including those most likely to have difficulty accessing care. When there are barriers that prevent equitable access, they are removed."
Extra Care Housing,Well-Led,Capable and compassionate leaders,WEL-CL-01,"Where required, there is a registered manager in post. They understand their responsibilities and are supported by the board, trustees or directors and other managers to deliver good, effective, high-quality care."
Extra Care Housing,Well-Led,Capable and compassionate leaders,WEL-CL-02,"High-quality leadership is sustained through safe, effective, and inclusive recruitment and succession planning."
Extra Care Housing,Well-Led,Capable and compassionate leaders,WEL-CL-03,Leaders are knowledgeable about issues and priorities that affect the quality of the service and have access to appropriate development in their role. They seek support or independent scrutiny where required.
Extra Care Housing,Well-Led,Capable and compassionate leaders,WEL-CL-04,"When something goes wrong, people receive a sincere and timely apology and are told about any actions being taken to prevent the same thing happening again."
Extra Care Housing,Well-Led,Governance and management,WEL-GM-01,The service has an accurate statement of purpose that clearly reflects current service provision.
Extra Care Housing,Well-Led,Governance and management,WEL-GM-02,"There are effective systems for monitoring and managing service performance, risk and learning from incidents that support innovation while maintaining the quality of care at the service."
Extra Care Housing,Well-Led,Governance and management,WEL-GM-03,"There are secure and reliable arrangements for the availability, integrity and confidentiality of data, records and data management systems. Information is used effectively to monitor and improve the quality of care. Staff understand their responsibilities when collecting and sharing information."
Extra Care Housing,Well-Led,Governance and management,WEL-GM-04,"There are thorough business continuity plans in place for emergencies or natural disasters, such as adverse weather events, and staff know how to put these into practice."
Extra Care Housing,Well-Led,Governance and management,WEL-GM-05,Data or notifications are consistently submitted to external partners as required.
Extra Care Housing,Well-Led,Governance and management,WEL-GM-06,"There are clear and effective governance, management and accountability arrangements. Staff understand their roles and responsibilities. Managers can account for the actions, behaviours and performance of staff."
Extra Care Housing,Well-Led,Partnerships and communities,WEL-PC-01,The service maintains positive relationships with the local community and works well with community partners.
Extra Care Housing,Well-Led,Partnerships and communities,WEL-PC-02,"Staff and leaders work in partnership with people and other organisations, so that services work as seamlessly as possible for people."
Extra Care Housing,Well-Led,Partnerships and communities,WEL-PC-03,"The service has strong external relationships and all staff including leaders engage early with people, communities, and partners to share learning with each other, which results in continuous improvements to the service."
Extra Care Housing,Well-Led,"Improvement, innovation and learning",WEL-IL-01,"Staff and leaders understand how to drive improvement through consistent approaches that enable the right environment for improvement, measuring outcomes and impact."
Extra Care Housing,Well-Led,"Improvement, innovation and learning",WEL-IL-02,"Leaders foster a culture of trust by encouraging staff to speak up with ideas for improvement and innovation, and by actively investing time to listen and engage."
Extra Care Housing,Well-Led,"Improvement, innovation and learning",WEL-IL-03,"Staff and leaders engage with external work, including research, and embed evidence-based good practice in the service."
Extra Care Housing,Well-Led,Workforce equity and culture,WEL-WE-01,"The service is committed to workforce equality, understands equity and proactively works to promote equality, diversity and inclusion. Wellbeing, inclusion, trust and open communication are embedded in the culture of the service."
Extra Care Housing,Well-Led,Workforce equity and culture,WEL-WE-02,"Staff and volunteers are actively encouraged to give feedback, raise concerns, and contribute to improvements through formal speaking up processes. They are confident that they will be treated with compassion and understanding, and will not be blamed, or treated negatively if they do so - including in relation to issues of racism and discrimination."
Extra Care Housing,Well-Led,Workforce equity and culture,WEL-WE-03,"Staff wellbeing is promoted by providing personalised support, such as making reasonable adjustments, enabling flexible working, ensuring adequate rest, and providing a positive work environment. There is support if people are struggling at work."
Extra Care Housing,Well-Led,Strategic direction,WEL-SD-01,"The values of the service are clear, understood and supported by staff. They are demonstrated through the behaviour of leaders and in practices within the service. They include key principles such as openness, involvement, respect, human rights, inclusion, diversity and equality."
Extra Care Housing,Well-Led,Strategic direction,WEL-SD-02,"Leaders learn from staff who work directly with people, to build trust and mutual understanding. Feedback is valued and used to track progress, shape priorities and drive improvements."
Extra Care Housing,Well-Led,Strategic direction,WEL-SD-03,The strategy supports the stability and operational sustainability of the service.
Shared Lives Scheme,Safe,Safety culture,SAF-SC-01,"All incidents are recorded, investigated and outcomes are communicated to those involved. If harm has occurred, people are given full details of what happened, why, and what has been learned."
Shared Lives Scheme,Safe,Safety culture,SAF-SC-02,"There is a good understanding of the duty of candour. When an incident has happened, staff are open and transparent with people and those close to them."
Shared Lives Scheme,Safe,Safety culture,SAF-SC-03,"There is a strong learning culture in which incidents that have caused harm, or could cause harm, are treated as opportunities to improve."
Shared Lives Scheme,Safe,Safety culture,SAF-SC-04,"Complaints, concerns and other feedback about safety are welcomed and prioritised as key sources used to identify and manage safety risks before safety incidents happen."
Shared Lives Scheme,Safe,Safety culture,SAF-SC-05,"The service looks for safety-related themes and trends. Patient safety alerts are consistently reviewed and acted on, and learning from external safety incidents is embedded in the delivery of care."
Shared Lives Scheme,Safe,Safety culture,SAF-SC-06,"Staff and leaders understand what constitutes a closed culture and the risks to people, including organisational abuse. There are systems and processes in place to identify concerns and prevent closed cultures from developing, and appropriate action is taken when needed."
Shared Lives Scheme,Safe,Managing risks during care and treatment,SAF-MR-01,"People's care plans reflect any foreseeable risks and how they should be managed. Deterioration, emergencies and clinical risks are anticipated where possible and managed to reduce the potential for harm."
Shared Lives Scheme,Safe,Managing risks during care and treatment,SAF-MR-02,People are respected and protected from avoidable harm because care is provided in line with recognised good practice guidance.
Shared Lives Scheme,Safe,Managing risks during care and treatment,SAF-MR-03,"Care, support and treatment are discussed with people so they understand the potential risks and side effects. Where appropriate, people and those close to them are actively involved in managing their own risks."
Shared Lives Scheme,Safe,Managing risks during care and treatment,SAF-MR-04,"The service has a process to ensure that any restrictions on people's freedom, choice and control are necessary, proportionate and safe. This particularly includes where people lack mental capacity."
Shared Lives Scheme,Safe,Managing risks during care and treatment,SAF-MR-05,"Restraint is only ever used as a last resort and there is a clear commitment from all staff to minimising the use of restrictive interventions in the service. If staff use restraint, it is lawful, for a legitimate purpose, safe and necessary, and staff follow good practice."
Shared Lives Scheme,Safe,Safe systems pathways and transitions,SAF-SP-01,"Plans and information for care during transitions are established and shared before people move between services. Plans consider people's individual needs, circumstances, ongoing care arrangements and expected outcomes."
Shared Lives Scheme,Safe,Safe systems pathways and transitions,SAF-SP-02,"Safety and continuity are maintained across people's care journeys through collaborative working with people, staff and partners. This includes where people are moving between or accessing multiple services."
Shared Lives Scheme,Safe,Safe systems pathways and transitions,SAF-SP-03,"Staff work together proactively with teams in other services, commissioners and people using the service to deliver co-ordinated, timely, consistent and person-centred care, support and treatment. Actions are appropriately owned and followed up."
Shared Lives Scheme,Safe,Safe systems pathways and transitions,SAF-SP-04,"When people have needs that are outside of the service's remit, staff adapt support and escalate issues to relevant agencies."
Shared Lives Scheme,Safe,Safe systems pathways and transitions,SAF-SP-05,"The service has appropriate systems and processes to manage its responsibilities in relation to delegated healthcare activities safely, in line with good practice."
Shared Lives Scheme,Safe,Safeguarding,SAF-SG-01,"There are effective safeguarding systems, processes and practices, managed by appropriately trained staff, which protect people from abuse, neglect, harassment and breaches of their dignity. These operate in line with legislation and guidance, are communicated effectively and are accessible to people, staff and visitors to the service."
Shared Lives Scheme,Safe,Safeguarding,SAF-SG-02,"Staff can identify abuse and improper treatment. They recognise early indicators of potential abuse or poor care, even when these do not meet the threshold for formal safeguarding concerns. Staff act quickly and appropriately to protect people, working closely with partners."
Shared Lives Scheme,Safe,Safeguarding,SAF-SG-03,"Information about people who have suffered harm or are at risk of harm is shared appropriately with other agencies, such as the local authority, in a timely way. Staff use appropriate escalation pathways when concerns are not addressed."
Shared Lives Scheme,Safe,Safeguarding,SAF-SG-04,"People are deprived of their liberty lawfully. Any potential deprivation of liberty is recognised promptly and appropriate authorisation is sought. Where applicable, the Deprivation of Liberty Safeguards (DoLS) are used appropriately and only when it is in the best interests of the person."
Shared Lives Scheme,Safe,Safeguarding,SAF-SG-05,"People are supported to understand what safeguarding means and how to raise concerns on behalf of themselves and others, and are encouraged and empowered to do so."
Shared Lives Scheme,Safe,Safe environments and infection prevention and control,SAF-EI-01,Fire safety procedures are effective. Concerns are escalated appropriately where the service is not directly responsible for the premises.
Shared Lives Scheme,Safe,Safe environments and infection prevention and control,SAF-EI-02,"Where the provider is responsible, there is a comprehensive system to proactively manage the safety and upkeep of the premises (including communal and personal spaces) and equipment, and risks are assessed and controlled. Professionally qualified and competent people complete the necessary environmental and equipment checks and maintenance."
Shared Lives Scheme,Safe,Safe environments and infection prevention and control,SAF-EI-03,The service manages the control and prevention of infection well. Infection prevention and control roles are clear. The risk of infection is minimised because premises and equipment are kept clean and hygienic.
Shared Lives Scheme,Safe,Safe environments and infection prevention and control,SAF-EI-04,"The service monitors and acts on equipment alerts, recalls and safety information."
Shared Lives Scheme,Safe,Safe environments and infection prevention and control,SAF-EI-05,"Facilities, equipment (including special or adaptive equipment) and technology that are the responsibility of the service are maintained, stored and used in line with good practice and guidance."
Shared Lives Scheme,Safe,Safe staffing,EFF-TD-01,"Thorough and safe recruitment practices ensure staff, including agency staff and volunteers, are suitably experienced, qualified and competent to carry out their roles."
Shared Lives Scheme,Safe,Safe staffing,EFF-TD-02,"There are appropriate staffing levels and skill mix to meet people's needs. Individual needs are taken into consideration so that when people receive one-to-one support, the skills and experience of staff are matched to the person's needs."
Shared Lives Scheme,Safe,Safe staffing,EFF-TD-03,"There are induction, supervision and appraisal processes to support staff to develop and improve services (including professional revalidation where needed)."
Shared Lives Scheme,Safe,Safe staffing,SAF-SS-03,"Actions are taken to protect staff from fatigue, and leaders understand its impact on the safety of those who use services."
Shared Lives Scheme,Safe,Safe medicines and treatments,SAF-MM-01,"There is a clear approach to the safe use of medicines, and roles and responsibilities are understood."
Shared Lives Scheme,Safe,Safe medicines and treatments,SAF-MM-02,"Where the service is responsible, medicines are ordered, administered, recorded, stored and disposed of safely in line with legislation and guidance."
Shared Lives Scheme,Safe,Safe medicines and treatments,SAF-MT-02,"Controlled drugs are stored, recorded, administered and disposed of in line with legislation and guidance."
Shared Lives Scheme,Safe,Safe medicines and treatments,SAF-MT-04,"The administration of PRN medicines (medicines taken when required) is guided by clear protocols, and there are timely reviews."
Shared Lives Scheme,Safe,Safe medicines and treatments,SAF-MT-05,"People and their representatives are involved in assessments, reviews and decisions, including the level of support needed and self-medication. This is clearly documented in care records."
Shared Lives Scheme,Safe,Safe medicines and treatments,SAF-MT-06,"The service actively considers opportunities to reduce the over-medication of people, in line with STOMP/STAMP principles where applicable."
Shared Lives Scheme,Effective,Assessing needs,EFF-CP-01,"People's needs are comprehensively assessed, and reflect their wishes and physical, mental, emotional, sensory, social and communication needs, including those related to protected equality characteristics."
Shared Lives Scheme,Effective,Assessing needs,EFF-CP-02,"Assessments are regularly reviewed and updated to make sure staff have current information, so that care, support and treatment is meeting people's needs and individual outcomes as expected."
Shared Lives Scheme,Effective,Assessing needs,EFF-MP-01,"People are involved as much as possible in their needs assessment and their needs are fully identified and understood. Where people need support to be involved, this is provided."
Shared Lives Scheme,Effective,Assessing needs,EFF-MP-02,"People's communication needs are assessed and met to maximise the effectiveness of care, support and treatment."
Shared Lives Scheme,Effective,Evidence-based care and equitable outcomes,EFF-EB-01,"People's nutritional and hydration needs are met in line with current standards and good practice guidance. Where applicable, there is positive feedback from dietetic professionals that the service asks for their advice and applies it properly."
Shared Lives Scheme,Effective,Evidence-based care and equitable outcomes,EFF-EB-02,"People are supported to plan and manage their dietary needs and associated risks, including risks of poor nutrition, dehydration, swallowing problems and other medical conditions that affect their health."
Shared Lives Scheme,Effective,Evidence-based care and equitable outcomes,EFF-EB-03,"There is a rigorous approach to monitoring the effectiveness of people's care, support and treatment and the service takes action to continuously improve it."
Shared Lives Scheme,Effective,Evidence-based care and equitable outcomes,EFF-EB-04,"Staff monitor and evaluate outcomes related to people's health and quality of life, including those linked to their aspirations and skill development, and act to improve them when possible."
Shared Lives Scheme,Effective,Evidence-based care and equitable outcomes,EFF-EB-05,"Staff are aware of individual preferences in relation to eating and drinking and there is flexibility when needed or requested. There are good quality food choices and these respect individual wishes, including those relating to sensory, cultural, religious and ethical preferences."
Shared Lives Scheme,Effective,Supporting people to live healthier lives,EFF-HL-01,"The service works with people who use services and professionals to plan and enable access to health and social care support to achieve good health and wellbeing outcomes. This includes facilitating reasonable adjustments, supporting people to access health checks or to complete healthcare passports."
Shared Lives Scheme,Effective,Supporting people to live healthier lives,EFF-HL-02,"Risks to people's health and wellbeing are identified and support to prevent deterioration is prioritised. This includes understanding specific risks for a person due to their needs and specific health conditions, keeping well in hot and cold weather and supporting people to remain as active and mobile as possible."
Shared Lives Scheme,Effective,Supporting people to live healthier lives,EFF-HL-03,"People are encouraged and supported to make healthier choices relating to diet, lifestyle, physical activity, personal and oral hygiene."
Shared Lives Scheme,Effective,Consent to care and treatment,EFF-CT-01,"Staff know the importance of consent and relevant legal requirements. They make sure people understand what they are consenting to before they deliver care, support or treatment. People are given the appropriate information, support and time they need to make an informed decision."
Shared Lives Scheme,Effective,Consent to care and treatment,EFF-CT-02,"There is a clear understanding of the requirements of the Mental Capacity Act 2005 and guidance relating to capacity and consent, and staff demonstrate how they put these into practice effectively. People are supported to understand information, communicate and make decisions about their life, care, support and treatment in line with the Mental Capacity Act 2005, involving their representatives and advocates when needed."
Shared Lives Scheme,Effective,Consent to care and treatment,EFF-CT-03,"People are supported to access independent advocacy, including statutory or non-statutory when available, and advocates are appropriately involved by the service."
Shared Lives Scheme,Effective,Consent to care and treatment,EFF-CT-04,"The service makes lawful decisions in people's best interests when required. People are involved and their feelings, beliefs and values are considered. Those close to the person and their advocates are involved and kept informed of any changes as appropriate."
Shared Lives Scheme,Caring,Kindness compassion and dignity,CAR-CW-01,"There is a culture of kindness and respect across teams. People feel cared for with kindness, compassion, dignity and respect."
